Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
73,2,2.000,2071096,2071096,3141951,2606523,3141951,3141951,3141951,3141951,3141951
74,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,4,4.000,833722,2806098,2882026,4539945,11637936,11637936,11637936,11637936,11637936
76,1,1.000,3355906,3355906,3355906,3355906,3355906,3355906,3355906,3355906,3355906
77,1,1.000,2735433,2735433,2735433,2735433,2735433,2735433,2735433,2735433,2735433
78,2,2.000,5946969,5946969,7601044,6774006,7601044,7601044,7601044,7601044,7601044
79,3,3.000,990270,990270,5323505,3879543,5324855,5324855,5324855,5324855,5324855
80,1,1.000,4921412,4921412,4921412,4921412,4921412,4921412,4921412,4921412,4921412
81,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,2,2.000,2098245,2098245,9295505,5696875,9295505,9295505,9295505,9295505,9295505
85,2,2.000,5231698,5231698,7739217,6485457,7739217,7739217,7739217,7739217,7739217
86,2,2.000,1025501,1025501,11184613,6105057,11184613,11184613,11184613,11184613,11184613
87,2,2.000,2061385,2061385,5147333,3604359,5147333,5147333,5147333,5147333,5147333
88,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,1,1.000,3429033,3429033,3429033,3429033,3429033,3429033,3429033,3429033,3429033
90,3,3.000,347007,347007,1654172,2146929,4439610,4439610,4439610,4439610,4439610
91,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,2,2.000,830669,830669,3972940,2401804,3972940,3972940,3972940,3972940,3972940
93,3,3.000,1196463,1196463,3269588,3101830,4839439,4839439,4839439,4839439,4839439
94,2,2.000,2830500,2830500,3947848,3389174,3947848,3947848,3947848,3947848,3947848
95,1,1.000,2000003,2000003,2000003,2000003,2000003,2000003,2000003,2000003,2000003
96,3,3.000,1048560,1048560,7688045,22586429,59022684,59022684,59022684,59022684,59022684
97,7,7.000,376153,571564,2858534,4365414,8152095,11889607,11889607,11889607,11889607
98,1,1.000,1532545,1532545,1532545,1532545,1532545,1532545,1532545,1532545,1532545
99,2,2.000,1994047,1994047,6100580,4047313,6100580,6100580,6100580,6100580,6100580
100,1,1.000,20171671,20171671,20171671,20171671,20171671,20171671,20171671,20171671,20171671
101,1,1.000,1198872,1198872,1198872,1198872,1198872,1198872,1198872,1198872,1198872
102,2,2.000,820625,820625,3999952,2410288,3999952,3999952,3999952,3999952,3999952
103,1,1.000,1953648,1953648,1953648,1953648,1953648,1953648,1953648,1953648,1953648
104,2,2.000,4984363,4984363,54848519,29916441,54848519,54848519,54848519,54848519,54848519
105,2,2.000,529493,529493,2952335,1740914,2952335,2952335,2952335,2952335,2952335
106,4,4.000,575705,957621,3937967,4406183,12153441,12153441,12153441,12153441,12153441
107,1,1.000,2843436,2843436,2843436,2843436,2843436,2843436,2843436,2843436,2843436
108,1,1.000,22638363,22638363,22638363,22638363,22638363,22638363,22638363,22638363,22638363
109,2,2.000,1107412,1107412,10578654,5843033,10578654,10578654,10578654,10578654,10578654
110,3,3.000,1028048,1028048,1966502,20047277,57147282,57147282,57147282,57147282,57147282
111,2,2.000,12142058,12142058,23106957,17624507,23106957,23106957,23106957,23106957,23106957
112,1,1.000,4976016,4976016,4976016,4976016,4976016,4976016,4976016,4976016,4976016
113,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,1,1.000,10752710,10752710,10752710,10752710,10752710,10752710,10752710,10752710,10752710
118,1,1.000,23377826,23377826,23377826,23377826,23377826,23377826,23377826,23377826,23377826
119,1,1.000,831447,831447,831447,831447,831447,831447,831447,831447,831447
120,2,2.000,528742,528742,3480430,2004586,3480430,3480430,3480430,3480430,3480430
121,1,1.000,1908398,1908398,1908398,1908398,1908398,1908398,1908398,1908398,1908398
122,1,1.000,3131810,3131810,3131810,3131810,3131810,3131810,3131810,3131810,3131810
123,2,2.000,3922964,3922964,5013053,4468008,5013053,5013053,5013053,5013053,5013053
124,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,1,1.000,2818232,2818232,2818232,2818232,2818232,2818232,2818232,2818232,2818232
127,1,1.000,6082059,6082059,6082059,6082059,6082059,6082059,6082059,6082059,6082059
128,3,3.000,966356,966356,1498992,1708425,2659928,2659928,2659928,2659928,2659928
129,1,1.000,9531643,9531643,9531643,9531643,9531643,9531643,9531643,9531643,9531643
130,2,2.000,344124,344124,1959147,1151635,1959147,1959147,1959147,1959147,1959147
131,2,2.000,2827474,2827474,4414390,3620932,4414390,4414390,4414390,4414390,4414390
132,1,1.000,6867969,6867969,6867969,6867969,6867969,6867969,6867969,6867969,6867969
133,1,1.000,9924827,9924827,9924827,9924827,9924827,9924827,9924827,9924827,9924827
134,2,2.000,1036449,1036449,9440427,5238438,9440427,9440427,9440427,9440427,9440427
135,2,2.000,2066016,2066016,12001453,7033734,12001453,12001453,12001453,12001453,12001453
136,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,1,1.000,4884327,4884327,4884327,4884327,4884327,4884327,4884327,4884327,4884327
138,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
139,2,2.000,933166,933166,1941334,1437250,1941334,1941334,1941334,1941334,1941334
140,1,1.000,963076,963076,963076,963076,963076,963076,963076,963076,963076
141,3,3.000,830418,830418,3504816,5453690,12025836,12025836,12025836,12025836,12025836
142,3,3.000,373878,373878,2797571,4370561,9940234,9940234,9940234,9940234,9940234
143,2,2.000,1967637,1967637,5976499,3972068,5976499,5976499,5976499,5976499,5976499
144,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
145,4,4.000,344757,819568,9598328,16059421,53475031,53475031,53475031,53475031,53475031
146,1,1.000,23197264,23197264,23197264,23197264,23197264,23197264,23197264,23197264,23197264
147,1,1.000,356704,356704,356704,356704,356704,356704,356704,356704,356704
148,1,1.000,4498821,4498821,4498821,4498821,4498821,4498821,4498821,4498821,4498821
149,1,1.000,59118546,59118546,59118546,59118546,59118546,59118546,59118546,59118546,59118546
150,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
151,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
152,2,2.000,566397,566397,23199015,11882706,23199015,23199015,23199015,23199015,23199015
153,2,2.000,836034,836034,3139856,1987945,3139856,3139856,3139856,3139856,3139856
154,1,1.000,985135,985135,985135,985135,985135,985135,985135,985135,985135
155,3,3.000,3520714,3520714,4280011,22429301,59487178,59487178,59487178,59487178,59487178
156,1,1.000,2818932,2818932,2818932,2818932,2818932,2818932,2818932,2818932,2818932
157,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
158,2,2.000,971435,971435,1502774,1237104,1502774,1502774,1502774,1502774,1502774
159,3,3.000,3054216,3054216,7708660,7504218,11749779,11749779,11749779,11749779,11749779
160,1,1.000,966274,966274,966274,966274,966274,966274,966274,966274,966274
161,1,1.000,5456123,5456123,5456123,5456123,5456123,5456123,5456123,5456123,5456123
162,1,1.000,10464455,10464455,10464455,10464455,10464455,10464455,10464455,10464455,10464455
163,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
164,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
165,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
166,1,1.000,512080,512080,512080,512080,512080,512080,512080,512080,512080
167,3,3.000,1975311,1975311,3977404,4527765,7630582,7630582,7630582,7630582,7630582
168,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
169,2,2.000,1080907,1080907,2818371,1949639,2818371,2818371,2818371,2818371,2818371
170,1,1.000,4102577,4102577,4102577,4102577,4102577,4102577,4102577,4102577,4102577
171,4,4.000,350734,815705,2657634,2070724,4458825,4458825,4458825,4458825,4458825
172,1,1.000,1730634,1730634,1730634,1730634,1730634,1730634,1730634,1730634,1730634
173,2,2.000,2106753,2106753,54176383,28141568,54176383,54176383,54176383,54176383,54176383
174,4,4.000,517832,951256,1526133,3134213,9541633,9541633,9541633,9541633,9541633
175,4,4.000,350072,2838385,4329797,3142437,5051497,5051497,5051497,5051497,5051497
176,3,3.000,338194,338194,5072395,3548501,5234915,5234915,5234915,5234915,5234915
177,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,1,1.000,1676387,1676387,1676387,1676387,1676387,1676387,1676387,1676387,1676387
179,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
180,4,4.000,824189,2068833,5139163,4941713,11734668,11734668,11734668,11734668,11734668
181,2,2.000,556170,556170,11389497,5972833,11389497,11389497,11389497,11389497,11389497
182,2,2.000,9259869,9259869,59171137,34215503,59171137,59171137,59171137,59171137,59171137
183,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,1,1.000,574103,574103,574103,574103,574103,574103,574103,574103,574103
185,1,1.000,23179782,23179782,23179782,23179782,23179782,23179782,23179782,23179782,23179782
186,1,1.000,60173954,60173954,60173954,60173954,60173954,60173954,60173954,60173954,60173954
187,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
188,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
191,1,1.000,5418983,5418983,5418983,5418983,5418983,5418983,5418983,5418983,5418983
192,2,2.000,339374,339374,7607616,3973495,7607616,7607616,7607616,7607616,7607616
193,1,1.000,3936217,3936217,3936217,3936217,3936217,3936217,3936217,3936217,3936217
194,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
195,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
196,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
197,3,3.000,816847,816847,1919070,2298738,4160297,4160297,4160297,4160297,4160297
198,2,2.000,1482407,1482407,8808985,5145696,8808985,8808985,8808985,8808985,8808985
199,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
200,2,2.000,3865424,3865424,11811886,7838655,11811886,11811886,11811886,11811886,11811886
201,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
202,1,1.000,2804757,2804757,2804757,2804757,2804757,2804757,2804757,2804757,2804757
203,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
204,2,2.000,1515594,1515594,9497361,5506477,9497361,9497361,9497361,9497361,9497361
